timestamp;buchstabe
0;Return
1336;Return
1817;Return
2263;Return
3838;D
4011;I
4021;A
4125;W
4163;D
4254;J
4301;A
4332;B
4391;O
4423;F
4559;A
4825;Return
5531;D
5660;A
5727;J
5779;N
5832;D
5949;W
5999;A
6075;N
6123;D
7708;S
7805;D
7830;N
7841;K
7904;A
8212;Return
9273;D
9403;K
9413;A
9475;N
9577;S
9649;D
10763;D
10817;M
10843;K
10869;A
11653;N
11770;F
11819;K
11899;A
12012;K
12059;V
12110;D
13316;N
13354;W
13525;A
13535;L
